,dh,dhid,mfdh,rgwp,dhwp,pp,rare,model
0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,Majority Vote
1,0.48565430370888735,0.5297555791710946,0.7659574468085106,0.7687193841847446,0.47844827586206895,0.0,0.0,K-means
2,0.6521739130434783,0.5982954545454545,0.6009852216748769,0.6753428491463755,0.0,0.0,0.0,Gaussian Mixture Model
3,0.6677966101694915,0.5823244552058111,0.5970873786407767,0.6793462947309101,0.4954128440366973,0.0,0.0,Bayesian Gaussian Mixture Model
4,0.6841025641025641,0.6208358570563295,0.9308176100628931,0.8456048084147257,0.56353591160221,0.674074074074074,0.0,Random Forest
5,0.727214377406932,0.7018927444794952,0.8527131782945736,0.8297644539614561,0.5,0.2968299711815562,0.011799410029498525,Balanced Random Forest
6,0.6581798483206934,0.773602199816682,0.7724137931034483,0.8077450308430432,0.48523985239852396,0.48258706467661694,0.014150943396226415,Support Vector Machine
7,0.6512437810945274,0.631578947368421,0.9041095890410958,0.8254817987152034,0.5019083969465649,0.810126582278481,0.0,K-nearest Neighbors
8,0.5702108568864962,0.7202127659574468,0.8807339449541285,0.8319709355131698,0.3699231613611416,0.3878787878787879,0.009195402298850575,Easy Ensemble
9,0.7222222222222222,0.6895252449133383,0.85546875,0.8272307145396374,0.4943820224719101,0.2814207650273224,0.012903225806451613,Self Trainer
10,0.6536536536536537,0.6358344113842174,0.9361702127659575,0.8190812720848056,0.5205479452054794,0.8648648648648649,0.0,Label Propagation
11,0.7719950433705081,0.7414395527603075,0.9176470588235294,0.7702662279389769,0.571078431372549,0.6268656716417911,0.0,LSTM
12,0.740340030911901,0.633267845448592,0.9672131147540983,0.8401743552488194,0.4790697674418605,0.7321428571428571,0.0,BLSTM
13,0.7073616826703246,0.7321937321937322,0.8727272727272727,0.8967119370979271,0.5566801619433198,0.6730769230769231,0.0,Encoder Decoder
